Algorithm,N,Solution Cost,States/Generations,Time
Hill Climbing,10,2,10000,0.26664042472839355
Hill Climbing,10,2,10000,0.2658498287200928
Hill Climbing,10,1,10000,0.2765848636627197
Hill Climbing,10,2,10000,0.266359806060791
Hill Climbing,10,1,10000,0.26982975006103516
Hill Climbing,10,0,158,0.004988908767700195
Hill Climbing,10,1,10000,0.26607298851013184
Hill Climbing,10,2,10000,0.3027958869934082
Simulated Annealing,10,0,2966,0.08465743064880371
Simulated Annealing,10,0,3079,0.08835983276367188
Simulated Annealing,10,0,2510,0.07242393493652344
Simulated Annealing,10,0,3819,0.11071658134460449
Simulated Annealing,10,0,2093,0.05973029136657715
Simulated Annealing,10,0,2844,0.08161425590515137
Simulated Annealing,10,0,2059,0.0593571662902832
Simulated Annealing,10,0,5526,0.16603946685791016
Simulated Annealing,10,0,4847,0.14185094833374023
Simulated Annealing,10,0,2833,0.0827946662902832
Simulated Annealing,10,0,2110,0.060781002044677734
Simulated Annealing,10,0,2741,0.08013677597045898
Simulated Annealing,10,0,3276,0.09509730339050293
Simulated Annealing,10,0,5569,0.17456579208374023
Simulated Annealing,10,0,2886,0.08483314514160156
Simulated Annealing,10,0,2482,0.07211947441101074
Simulated Annealing,10,0,2416,0.07288289070129395
Simulated Annealing,10,0,3022,0.08782649040222168
Simulated Annealing,10,0,4680,0.14061188697814941
Simulated Annealing,10,0,3872,0.11457395553588867
Simulated Annealing,10,0,2111,0.059075117111206055
Simulated Annealing,10,0,4986,0.14939641952514648
Simulated Annealing,10,0,7911,0.23761439323425293
Simulated Annealing,10,0,3529,0.10341048240661621
Simulated Annealing,10,0,3627,0.1059713363647461
Simulated Annealing,10,0,2412,0.06798648834228516
Simulated Annealing,10,0,3461,0.10239839553833008
Simulated Annealing,10,0,2136,0.06057596206665039
Simulated Annealing,10,0,4480,0.13539910316467285
Simulated Annealing,10,0,4681,0.13847875595092773
Genetic Algorithm,10,0,23,0.04863905906677246
Genetic Algorithm,10,1,1000,2.078176498413086
Genetic Algorithm,10,0,6,0.013527870178222656
Genetic Algorithm,10,0,569,1.3312950134277344
Genetic Algorithm,10,0,362,0.7583780288696289
Genetic Algorithm,10,1,1000,2.0957467555999756
Genetic Algorithm,10,1,1000,2.081272840499878
Genetic Algorithm,10,1,1000,2.0443778038024902
Genetic Algorithm,10,1,1000,2.077683210372925
Genetic Algorithm,10,1,1000,2.090839385986328
Genetic Algorithm,10,0,509,1.058058261871338
Genetic Algorithm,10,0,210,0.4372243881225586
Genetic Algorithm,10,0,191,0.3975355625152588
Genetic Algorithm,10,1,1000,2.065396308898926
Genetic Algorithm,10,0,315,0.6550683975219727
Genetic Algorithm,10,1,1000,2.0689356327056885
Genetic Algorithm,10,1,1000,2.0914149284362793
Genetic Algorithm,10,1,1000,2.058434247970581
Genetic Algorithm,10,1,1000,2.0659027099609375
Genetic Algorithm,10,0,19,0.04008650779724121
Genetic Algorithm,10,1,1000,2.095451593399048
Genetic Algorithm,10,1,1000,2.1505682468414307
Genetic Algorithm,10,0,32,0.06852984428405762
Genetic Algorithm,10,0,23,0.05145096778869629
Genetic Algorithm,10,0,135,0.3000016212463379
Genetic Algorithm,10,1,1000,2.093317985534668
Genetic Algorithm,10,1,1000,2.0945422649383545
Genetic Algorithm,10,0,89,0.18826556205749512
Genetic Algorithm,10,1,1000,2.08890962600708
Genetic Algorithm,10,1,1000,2.0944337844848633
